segclass,funclass,x,y
M,M,6255044.0,1836344.0
M,M,6262718.001,1831777.017
M,M,6262713.004,1831656.087
M,M,6262706.98,1831519.045
5,L,6258303.235,1961320.379
M,M,6254824.496,1836206.998
M,M,6255044.0,1836205.0
M,M,6254708.001,1836698.634
M,M,6261498.106,1835348.729
M,M,6261352.29,1835021.65
M,M,6254469.765,1836801.425
M,M,6265131.731,1832898.364
M,M,6266550.868,1832339.986
M,M,6267134.754,1832318.991
Z,7,6294021.805,1950390.742
Z,7,6265085.808,2085781.27
Z,7,6353193.508,1882239.649
Z,7,6341757.086,1884416.313
Z,7,6341066.203,1884716.018
M,M,6262698.984,1831339.133
M,M,6262766.828,1831112.557
M,M,6262690.982,1831151.038
P,P,6258117.942,1961374.37
Z,7,6341280.077,1884908.182
Z,7,6341329.556,1884746.87
Z,7,6341612.88,1884729.761
Z,7,6341511.275,1884501.738
Z,7,6340874.653,1883779.007
Z,7,6341137.493,1884251.033
Z,7,6341226.369,1884190.548
Z,7,6341021.962,1884056.381
Z,7,6341284.994,1883796.922
Z,7,6341788.928,1884346.658
Z,7,6341771.06,1884004.882
Z,7,6341939.29,1884021.385
M,M,6264440.217,1831191.54
Z,7,6341690.522,1815390.636
